Vernier Format 2
consomme3.txt 11/28/115 14:21:19
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.240	0.008	-0.069	
0.05	0.240	0.005	-0.079	
0.10	0.240	0.001	-0.091	
0.15	0.240	-0.005	-0.090	
0.20	0.240	-0.009	-0.064	
0.25	0.239	-0.012	-0.015	
0.30	0.239	-0.012	0.071	
0.35	0.238	-0.007	0.213	
0.40	0.237	0.008	0.383	
0.45	0.238	0.033	0.513	
0.50	0.240	0.063	0.569	
0.55	0.245	0.092	0.572	
0.60	0.250	0.120	0.578	
0.65	0.257	0.148	0.612	
0.70	0.264	0.178	0.677	
0.75	0.274	0.220	0.666	
0.80	0.287	0.252	0.536	
0.85	0.300	0.269	0.474	
0.90	0.313	0.293	0.523	
0.95	0.329	0.322	0.577	
1.00	0.346	0.351	0.616	
1.05	0.364	0.388	0.568	
1.10	0.385	0.413	0.444	
1.15	0.405	0.427	0.416	
1.20	0.427	0.450	0.476	
1.25	0.450	0.476	0.525	
1.30	0.475	0.504	0.532	
1.35	0.501	0.530	0.514	
1.40	0.528	0.554	0.526	
1.45	0.556	0.581	0.579	
1.50	0.586	0.612	0.645	
1.55	0.617	0.644	0.739	
1.60	0.650	0.687	0.761	
1.65	0.686	0.729	0.575	
1.70	0.723	0.761	0.121	
1.75	0.765	0.734	-0.176	
1.80	0.796	0.709	0.139	
1.85	0.833	0.749	0.472	
1.90	0.872	0.778	0.447	
1.95	0.911	0.798	0.319	
2.00	0.952	0.800	0.346	
2.05	0.990	0.822	0.566	
2.10	1.033	0.866	0.627	
2.15	1.078	0.894	0.505	
2.20	1.123	0.916	0.365	
2.25	1.169	0.931	0.205	
2.30	1.216	0.936	0.041	
2.35	1.263	0.938	-0.166	
2.40	1.311	0.918	-0.311	
2.45	1.355	0.895	-0.237	
2.50	1.400	0.891	-0.093	
2.55	1.444	0.893	-0.065	
2.60	1.490	0.889	-0.124	
2.65	1.533	0.875	-0.079	
2.70	1.576	0.877	0.043	
2.75	1.621	0.883	0.087	
2.80	1.665	0.888	0.059	
2.85	1.709	0.898	-0.175	
2.90	1.756	0.883	-0.645	
2.95	1.799	0.830	-1.085	
3.00	1.839	0.764	-1.440	
3.05	1.874	0.701	-2.118	
3.10	1.911	0.596	-3.457	
3.15	1.943	0.327	-4.131	
3.20	1.942	0.084	-2.944	
3.25	1.942	0.015	-1.292	
3.30	1.942	0.000	-0.389	
3.35	1.942	0.001	-0.069	
3.40	1.942	0.000	-0.010	
3.45	1.942	0.000	0.002	
3.50	1.942	0.001	-0.002	
3.55	1.942	0.001	-0.016	
3.60	1.942	-0.001	-0.026	
3.65	1.942	-0.002	-0.029	
