Vernier Format 2
cream4.txt 11/28/115 14:45:49
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.240	0.004	-0.048	
0.05	0.240	0.001	-0.036	
0.10	0.240	-0.000	-0.015	
0.15	0.240	-0.000	0.009	
0.20	0.240	0.000	0.047	
0.25	0.240	0.003	0.124	
0.30	0.240	0.011	0.236	
0.35	0.241	0.027	0.329	
0.40	0.243	0.047	0.362	
0.45	0.246	0.065	0.360	
0.50	0.249	0.082	0.359	
0.55	0.254	0.101	0.345	
0.60	0.259	0.118	0.313	
0.65	0.265	0.132	0.283	
0.70	0.273	0.146	0.246	
0.75	0.280	0.157	0.211	
0.80	0.289	0.165	0.211	
0.85	0.297	0.175	0.261	
0.90	0.305	0.196	0.243	
0.95	0.317	0.204	0.142	
1.00	0.326	0.205	0.125	
1.05	0.337	0.214	0.179	
1.10	0.348	0.223	0.242	
1.15	0.359	0.236	0.320	
1.20	0.371	0.260	0.305	
1.25	0.386	0.272	0.200	
1.30	0.399	0.274	0.189	
1.35	0.412	0.285	0.279	
1.40	0.427	0.302	0.375	
1.45	0.442	0.328	0.378	
1.50	0.460	0.345	0.277	
1.55	0.477	0.352	0.244	
1.60	0.495	0.364	0.307	
1.65	0.513	0.382	0.388	
1.70	0.533	0.407	0.407	
1.75	0.555	0.424	0.394	
1.80	0.575	0.440	0.486	
1.85	0.598	0.475	0.545	
1.90	0.623	0.500	0.501	
1.95	0.648	0.524	0.454	
2.00	0.676	0.546	0.363	
2.05	0.702	0.566	0.163	
2.10	0.733	0.572	-0.164	
2.15	0.762	0.538	-0.263	
2.20	0.785	0.524	0.031	
2.25	0.812	0.547	0.251	
2.30	0.841	0.555	0.354	
2.35	0.867	0.584	0.396	
2.40	0.900	0.602	0.309	
2.45	0.928	0.609	0.325	
2.50	0.960	0.634	0.342	
2.55	0.992	0.647	0.300	
2.60	1.024	0.661	0.303	
2.65	1.058	0.677	0.315	
2.70	1.092	0.692	0.337	
2.75	1.127	0.712	0.321	
2.80	1.163	0.730	0.207	
2.85	1.201	0.734	0.057	
2.90	1.237	0.732	-0.043	
2.95	1.273	0.733	-0.187	
3.00	1.311	0.713	-0.311	
3.05	1.345	0.691	-0.234	
3.10	1.379	0.689	-0.131	
3.15	1.414	0.681	-0.074	
3.20	1.447	0.680	-0.019	
3.25	1.482	0.686	-0.084	
3.30	1.517	0.675	-0.190	
3.35	1.550	0.658	-0.148	
3.40	1.582	0.653	0.012	
3.45	1.614	0.665	0.080	
3.50	1.648	0.671	-0.017	
3.55	1.682	0.664	-0.100	
3.60	1.716	0.647	0.069	
3.65	1.745	0.654	0.447	
3.70	1.777	0.719	0.262	
3.75	1.820	0.734	-0.879	
3.80	1.858	0.620	-1.877	
3.85	1.881	0.499	-2.080	
3.90	1.905	0.416	-2.227	
3.95	1.925	0.292	-2.504	
4.00	1.936	0.138	-2.242	
4.05	1.936	0.036	-1.370	
4.10	1.936	0.007	-0.592	
4.15	1.936	0.001	-0.209	
4.20	1.936	0.002	-0.039	
